rat,soln,group,cohort,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
w,15,NORET,winter15,0.167006667,4.828098039,4.446503226,3.480619195,0.688763636,2.691266862,1.534522989,2.503017045,10.9535014,3.263180055,3.92099729,3.597385027,3.029804124,5.286005089,3.964643392
ac,15,NORET,winter15,1.131335484,3.3605,4.597222892,4.635896848,0.39117847,0.958953678,0.601453125,0.941915938,1.177792347,1.596749633,1.592883173,1.123005,1.546054545,1.190928251,1.597766004
ad,15,RET,winter15,4.285039474,7.394069841,4.115208723,5.775404762,6.013526316,4.982268571,5.439431755,4.564826446,5.38924933,5.628797927,4.659266667,4.32020202,4.360318182,3.279672646,4.463209524
af,15,RET,winter15,0.328537705,2.146234177,1.032835913,4.920252199,6.766388571,2.895461111,2.206205405,3.231868421,5.50685347,4.025591022,4.523807882,9.666257282,4.809629454,0.079757576,5.415745958
ae,15,NORET,winter15,0,0.174571429,2.224815743,2.113550552,2.99456027,2.911971204,4.583493734,4.197584158,3.612363196,3.535451991,2.647196305,3.823945578,3.169230435,3.628727669,3.316111111
ab,15,NORET,winter15,0.715919192,1.893296053,1.891006329,4.89928,3.211386905,4.55831085,2.217057143,4.625649718,2.973983425,3.163989189,5.12152356,3.964358442,2.754105528,4.69837931,3.071195181
aa,15,NORET,winter15,0.543111111,2.276202985,4.226384615,4.332231638,4.891375691,4.7385,3.286318538,3.790693878,3.845795511,4.514528117,4.02610628,4.252327791,5.204083141,6.487505721,4.384823529
z,15,RET,winter15,1.376683544,1.926711656,1.600748538,2.574438202,3.277483696,3.309448276,3.051850515,3.31773,4.324921569,4.751577197,4.037168224,3.663210046,4.369251641,3.078805195,3.979266949
v,15,RET,winter15,0.362074074,0.372876133,0.355535897,3.348422802,3.269127926,3.116539791,1.873194015,2.051636364,3.003654676,1.547971963,2.57143578,2.92181573,3.121703057,3.897260215,2.959207627
u,15,RET,winter15,0.278277228,4.167333333,4.273157233,4.451309309,3.662416422,3.589625,3.909713483,4.23492011,3.418341333,3.395505208,3.378288608,3.208892768,2.580106538,2.47925,2.249061905
t,5,NORET,winter15,0.118258065,0.088106583,0.007183784,0.191283815,0.270267227,0.173020755,0.229304145,0.080954315,1.02366225,1.867390511,1.740129496,2.331733649,2.283058824,1.170114035,0.888352174
s,15,NORET,winter15,2.900266234,3.064637224,1.494373494,1.745212644,4.55847191,4.363336957,4.784550265,4.552109948,4.598086735,5.934129032,4.721902913,4.553404762,4.185764706,3.920583333,3.41449217
q,15,RET,winter15,0.893,1.293003058,1.273221557,3.313365714,2.369322222,3.86531016,2.87138342,5.917705584,5.111279012,6.279966427,6.751190588,2.757908257,2.797736842,3.023532189,2.249
a,15,RET,summer15,5.813284345,0.20239375,0.852976364,0.119952722,2.529872652,3.003180811,2.442943636,3.045540458,5.293678392,4.476698795,3.822307329,4.574796296,1.517910314,0.627221239,1.611545852
b,15,RET,summer15,3.550941558,1.965318471,2.462916409,2.777272727,3.856396601,4.216237569,3.32384,2.396015707,3.897273657,3.513630923,4.037913043,2.155792453,1.973345708,2.287045872,3.067357303
c,15,NORET,summer15,0.275048232,0,0.076721451,1.933755963,2.824424324,3.701206195,3.261885552,4.46639779,2.315862259,2.400478261,3.294365079,3.290242894,2.702559194,2.677346734,1.928044444
d,15,NORET,summer15,0.064741722,0.533764495,0.041374528,0.65619375,0.700325217,0.338668466,1.893547354,1.637753867,3.264970685,3.531039894,4.720857143,4.819338501,5.185812183,4.927130653,5.43341206
e,15,NORET,summer15,0.27339661,0.195042345,3.748287898,3.90726,4.629553211,3.791209821,4.279084548,4.2315,4.580879552,5.181749304,4.20020765,4.917485255,4.543910526,4.003865633,4.187928389
f,15,NORET,summer15,2.354774603,3.075937695,2.425428571,4.11100578,4.308786127,3.549619048,2.907631436,3.074709677,4.344531579,4.573861183,3.653810474,2.513915423,3.049009804,4.0331875,2.907718377
g,15,RET,summer15,0.592730897,2.650311688,3.095222571,0.557468278,1.663076923,2.538538682,3.005643454,3.385041551,4.901246612,5.217746032,5.615530928,5.822470588,6.689002494,2.434992629,4.113073171
h,15,RET,summer15,0.382123779,0.007734177,1.494820183,0.546323615,1.875366667,1.493736769,1.834668293,0,0,3.23802093,5.181428571,2.946688119,2.864489209,2.314862559,1.555504673
i,15,RET,summer15,0.525924051,1.23708642,1.017714286,1.21472619,0.795884726,1.561252125,1.701348066,0,0.0031896,2.347553906,4.689641944,3.347053435,3.813462687,3.353039409,3.630912621
j,15,NORET,summer15,0.731618123,0.144916667,1.124858934,1.861386391,3.03012,2.789751009,5.185266667,4.706071038,5.2545,5.579669333,6.045853018,5.088484375,3.506741855,6.381555556,6.27772549
l,15,RET,summer15,1.418967105,3.339095541,3.03237037,4.767263473,4.735692754,5.236127907,4.567139665,5.354158038,6.093396739,5.05984375,3.952795918,5.159895,4.540975728,5.633627119,4.272687059
m,15,RET,summer15,0.6130299,0.529400651,0.526537143,2.48392546,3.876848649,3.94713,3.704965057,5.624138504,5.931108696,4.865462141,5.60677635,5.131168766,6.44545098,4.611875,4.51909434
n,15,NORET,summer15,1.201700997,0.467581994,3.536456656,3.025359403,3.757515698,3.796120963,5.615207756,6.029833333,5.697439153,4.81744757,6.094609572,4.782395062,4.624258993,4.88215311,4.686227907
p,15,NORET,summer15,0.77030363,0.607058065,0.6202,0.581886486,2.239926822,2.577020117,2.79978468,2.415201923,2.478873913,3.434538259,3.724057592,3.390685864,3.29,2.1368,3.480093596
